mp_id,category,config,nmae,seconds,grid,mass_captured,effective_threshold
mp-1908473,oxide,cutoff-top-1pct,0.8388159500548611,0.006054208992281929,"(128, 128, 128)",0.16118405759334564,4647.33935546875
mp-1908473,oxide,cutoff-top-5pct,0.5368454224199841,0.005921958014369011,"(128, 128, 128)",0.46315455436706543,1853.30517578125
mp-1908473,oxide,cutoff-top-25pct,0.18281155692177908,0.008976207987871021,"(128, 128, 128)",0.8171885013580322,280.0770568847656
mp-1908473,oxide,cutoff-top-100pct,2.156921180268205e-08,0.006276125001022592,"(128, 128, 128)",1.0,-118.6256103515625
mp-1908473,oxide,fourier-lowg-0.25pct,0.6558840239306533,0.021292791003361344,"(128, 128, 128)",,
mp-1908473,oxide,fourier-lowg-0.5pct,0.5010223106776446,0.020792958996025845,"(128, 128, 128)",,
mp-1908473,oxide,fourier-lowg-1pct,0.33656867455872524,0.021458458999404684,"(128, 128, 128)",,
mp-1908473,oxide,fourier-lowg-5pct,0.0695483127779934,0.022094957996159792,"(128, 128, 128)",,
mp-1908473,oxide,fourier-lowg-25pct,0.005204972119741556,0.02372891697450541,"(128, 128, 128)",,
mp-1908473,oxide,fourier-lowg-100pct,4.1996005473243124e-08,0.024664707976626232,"(128, 128, 128)",,
mp-1908473,oxide,delta-fourier-lowg-0.25pct,0.5157839795738698,2.7619900419958867,"(128, 128, 128)",,
mp-1908473,oxide,delta-fourier-lowg-0.5pct,0.35124866964382295,2.6756820419977885,"(128, 128, 128)",,
mp-1908473,oxide,delta-fourier-lowg-1pct,0.23498307838992566,2.7671070419892203,"(128, 128, 128)",,
mp-1908473,oxide,delta-fourier-lowg-5pct,0.0542832233563957,2.6775377920130268,"(128, 128, 128)",,
mp-1908473,oxide,delta-fourier-lowg-25pct,0.005207489511767908,2.8241824170108885,"(128, 128, 128)",,
mp-1805331,intermetallic,direct,2.1127145812376188e-08,0.0006766669976059347,"(128, 128, 128)",,
mp-1805331,intermetallic,cutoff-top-1pct,0.7393926357652669,0.0041252079827245325,"(128, 128, 128)",0.26060736179351807,1129.6907958984375
mp-1805331,intermetallic,cutoff-top-5pct,0.3585348932207526,0.005965582997305319,"(128, 128, 128)",0.6414651870727539,242.41140747070312
mp-1805331,intermetallic,cutoff-top-25pct,0.17611767848145748,0.012914000020828098,"(128, 128, 128)",0.8238824009895325,20.146278381347656
mp-1805331,intermetallic,cutoff-top-100pct,2.1127145812376188e-08,0.006695082993246615,"(128, 128, 128)",1.0,9.203015327453613
mp-1805331,intermetallic,fourier-lowg-0.25pct,0.390864661648528,0.021267667005304247,"(128, 128, 128)",,
mp-1805331,intermetallic,fourier-lowg-0.5pct,0.227474008235227,0.0216429170104675,"(128, 128, 128)",,
mp-1805331,intermetallic,fourier-lowg-1pct,0.09884573057406632,0.021775375003926456,"(128, 128, 128)",,
mp-1805331,intermetallic,fourier-lowg-5pct,0.005436357693263677,0.022439499996835366,"(128, 128, 128)",,
mp-1805331,intermetallic,fourier-lowg-25pct,0.0009957722165515584,0.023654999997233972,"(128, 128, 128)",,
mp-1805331,intermetallic,fourier-lowg-100pct,6.675638750802676e-08,0.022623374999966472,"(128, 128, 128)",,
mp-1805331,intermetallic,delta-fourier-lowg-0.25pct,0.2521123841661792,0.27930883297813125,"(128, 128, 128)",,
mp-1805331,intermetallic,delta-fourier-lowg-0.5pct,0.1504839254181099,0.2787396250059828,"(128, 128, 128)",,
mp-1805331,intermetallic,delta-fourier-lowg-1pct,0.07475196249320093,0.28509291700902395,"(128, 128, 128)",,
mp-1805331,intermetallic,delta-fourier-lowg-5pct,0.005886514839167567,0.286803583992878,"(128, 128, 128)",,
mp-1805331,intermetallic,delta-fourier-lowg-25pct,0.0014301292148545335,0.28496783299488015,"(128, 128, 128)",,
mp-1804635,intermetallic,direct,2.136375441210321e-08,0.0006414579984266311,"(128, 128, 128)",,
mp-1804635,intermetallic,cutoff-top-1pct,0.7897815597542127,0.006920834013726562,"(128, 128, 128)",0.21021845936775208,1125.06640625
mp-1804635,intermetallic,cutoff-top-5pct,0.4175539300102354,0.007077667018165812,"(128, 128, 128)",0.5824460983276367,339.42010498046875
mp-1804635,intermetallic,cutoff-top-25pct,0.17335298879343386,0.012781750003341585,"(128, 128, 128)",0.8266470432281494,27.320388793945312
